system_id,score,score_ci_lower,score_ci_upper,median_rank,rank_ci_lower,rank_ci_upper,top1_probability,n_tasks
20251205_sonar-foundation-agent_claude-opus-4-5,0.792,0.756,0.826,1.5,1.0,3.0,0.4417,500
20251215_livesweagent_claude-opus-4-5,0.792,0.756,0.826,1.5,1.0,3.0,0.4478,500
20251120_livesweagent_gemini-3-pro-preview,0.774,0.738,0.81,3.0,1.0,5.0,0.0354,500
20250731_harness_ai,0.748,0.71,0.786,6.0,3.5,9.5,0.0,500
20251103_sonar-foundation-agent_claude-sonnet-4-5,0.748,0.708,0.786,6.0,3.0,10.5,0.0,500
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,0.746,0.708,0.784,6.0,4.0,10.0,0.0002,500
20250915_JoyCode,0.746,0.708,0.784,6.0,3.0,11.5,0.0001,500
20250603_Refact_Agent_claude-4-sonnet,0.744,0.706,0.782,7.0,4.0,11.0,0.0004,500
20250522_tools_claude-4-opus,0.732,0.692,0.77,9.0,4.0,16.5,0.0,500
20250522_tools_claude-4-sonnet,0.724,0.684,0.762,11.0,7.0,18.0,0.0,500
20250807_openhands_gpt5,0.718,0.678,0.756,13.0,7.5,20.0,0.0,500
20260901_mini-v2.4.2_gemini-3-5-flash,0.718,0.678,0.758,13.0,5.0,21.0,0.0,500
20250710_bloop,0.712,0.672,0.75,15.0,9.0,21.0,0.0,500
20250715_qodo_command,0.712,0.672,0.752,15.0,9.0,21.0,0.0,500
20251014_Lingxi_kimi_k2,0.712,0.672,0.75,15.0,9.0,21.0,0.0,500
20250623_warp,0.71,0.668,0.75,15.5,9.5,21.0,0.0,500
20250611_moatless_claude-4-sonnet-20250514,0.708,0.668,0.748,16.0,10.0,21.0,0.0,500
20250515_Refact_Agent,0.704,0.664,0.742,18.0,10.0,21.0,0.0,500
20250524_openhands_claude_4_sonnet,0.704,0.664,0.744,18.0,10.0,21.0,0.0,500
20250610_augment_agent_v1,0.704,0.664,0.744,18.0,10.0,21.0,0.0,500
20250519_devlo,0.702,0.662,0.742,18.5,11.0,21.0,0.0,500
20250522_sweagent_claude-4-sonnet-20250514,0.666,0.624,0.706,22.0,21.0,23.0,0.0,500
20250716_openhands_kimi_k2,0.654,0.612,0.694,23.0,22.0,23.0,0.0,500
20250924_artemis_agent_v2,0.57,0.526,0.614,24.0,24.0,25.0,0.0,500
20251110_frogboss-32b,0.536,0.49,0.58,26.0,24.0,28.0,0.0,500
20250804_codesweep_sweagent_kimi_k2_instruct,0.534,0.49,0.578,26.0,24.0,28.0,0.0,500
20250901_entroPO_R2E_QwenCoder30BA3B,0.522,0.478,0.566,27.0,25.0,28.0,0.0,500
20241125_enginelabs,0.518,0.474,0.562,27.5,25.0,28.0,0.0,500
20250520_openhands_devstral_small,0.468,0.424,0.512,29.0,29.0,30.0,0.0,500
20251110_frogmini-14b,0.45,0.406,0.492,30.0,29.0,31.0,0.0,500
20250629_deepswerl_r2eagent,0.422,0.378,0.466,31.0,30.0,33.0,0.0,500
20250511_sweagent_lm_32b,0.402,0.358,0.444,32.0,31.0,34.5,0.0,500
20241028_agentless-1.5_gpt4o,0.388,0.346,0.432,33.0,31.0,35.0,0.0,500
20250616_Skywork-SWE-32B,0.38,0.338,0.422,34.0,32.0,35.5,0.0,500
20250725_sweagent_devstral_small_2507,0.38,0.338,0.422,34.0,32.0,35.0,0.0,500
20240620_sweagent_claude3.5sonnet,0.336,0.294,0.378,36.0,35.0,37.0,0.0,500
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,0.328,0.288,0.368,37.0,36.0,37.0,0.0,500
20240728_sweagent_gpt4o,0.232,0.196,0.27,39.0,38.0,40.0,0.0,500
20250627_agentless_MCTS-Refine-7B,0.232,0.196,0.27,39.0,38.0,40.0,0.0,500
20240402_sweagent_gpt4,0.224,0.188,0.26,39.5,38.0,40.0,0.0,500
20240402_sweagent_claude3opus,0.158,0.126,0.19,41.0,41.0,41.0,0.0,500
20231010_rag_claude2,0.044,0.028,0.062,42.0,42.0,42.0,0.0,500
20231010_rag_swellama7b,0.014,0.004,0.026,43.0,43.0,44.5,0.0,500
20231010_rag_swellama13b,0.012,0.004,0.022,44.0,43.0,45.0,0.0,500
20231010_rag_gpt35,0.004,0.0,0.01,45.0,43.5,45.0,0.0,500
