system_id,20231010_rag_claude2,20231010_rag_gpt35,20231010_rag_swellama13b,20231010_rag_swellama7b,20240402_sweagent_claude3opus,20240402_sweagent_gpt4,20240620_sweagent_claude3.5sonnet,20240728_sweagent_gpt4o,20241028_agentless-1.5_gpt4o,20241125_enginelabs,20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,20250511_sweagent_lm_32b,20250515_Refact_Agent,20250519_devlo,20250520_openhands_devstral_small,20250522_sweagent_claude-4-sonnet-20250514,20250522_tools_claude-4-opus,20250522_tools_claude-4-sonnet,20250524_openhands_claude_4_sonnet,20250603_Refact_Agent_claude-4-sonnet,20250610_augment_agent_v1,20250611_moatless_claude-4-sonnet-20250514,20250616_Skywork-SWE-32B,20250623_warp,20250627_agentless_MCTS-Refine-7B,20250629_deepswerl_r2eagent,20250710_bloop,20250715_qodo_command,20250716_openhands_kimi_k2,20250720_Lingxi-v1.5_claude-4-sonnet-20250514,20250725_sweagent_devstral_small_2507,20250731_harness_ai,20250804_codesweep_sweagent_kimi_k2_instruct,20250807_openhands_gpt5,20250901_entroPO_R2E_QwenCoder30BA3B,20250915_JoyCode,20250924_artemis_agent_v2,20251014_Lingxi_kimi_k2,20251103_sonar-foundation-agent_claude-sonnet-4-5,20251110_frogboss-32b,20251110_frogmini-14b,20251120_livesweagent_gemini-3-pro-preview,20251205_sonar-foundation-agent_claude-opus-4-5,20251215_livesweagent_claude-opus-4-5,20260901_mini-v2.4.2_gemini-3-5-flash
20231010_rag_claude2,0.5,1.0,0.99965,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20231010_rag_gpt35,0.0,0.5,0.07665,0.0434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20231010_rag_swellama13b,0.00035,0.92335,0.5,0.35905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20231010_rag_swellama7b,0.001,0.9566,0.64095,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240402_sweagent_claude3opus,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240402_sweagent_gpt4,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.3427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240620_sweagent_claude3.5sonnet,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.01115,0.0,0.63275,0.00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02255,0.0,1.0,0.00025,0.0,0.0,0.0,0.0,0.01665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240728_sweagent_gpt4o,1.0,1.0,1.0,1.0,1.0,0.6573,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20241028_agentless-1.5_gpt4o,1.0,1.0,1.0,1.0,1.0,1.0,0.98885,1.0,0.5,0.0,0.9975,0.2543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435,0.0,1.0,0.0644,0.0,0.0,0.0,0.0,0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00245,0.0,0.0,0.0,0.0
20241125_enginelabs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.9888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21455,0.0,0.42345,0.0,0.0078,0.0,0.0,0.21545,0.99895,0.0,0.0,0.0,0.0
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,1.0,1.0,1.0,1.0,1.0,1.0,0.36725,1.0,0.0025,0.0,0.5,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250511_sweagent_lm_32b,1.0,1.0,1.0,1.0,1.0,1.0,0.99965,1.0,0.7457,0.0,0.99985,0.5,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86055,0.0,1.0,0.1836,0.0,0.0,0.0,0.0,0.87405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,0.0
20250515_Refact_Agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.55395,1.0,0.99125,0.0585,0.10315,0.5013,0.0036,0.4985,0.39355,1.0,0.3564,1.0,1.0,0.2993,0.30875,0.99795,0.0017,1.0,0.0006,1.0,0.19325,1.0,0.0069,1.0,0.30595,0.00435,1.0,1.0,0.0,0.0,0.0,0.24315
20250519_devlo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44605,0.5,1.0,0.9849,0.0402,0.08805,0.45295,0.00255,0.4386,0.35,1.0,0.3143,1.0,1.0,0.2741,0.26295,0.9978,0.0013,1.0,0.0005,1.0,0.16625,1.0,0.00375,1.0,0.26685,0.0015,1.0,1.0,0.0,0.0,0.0,0.20705
20250520_openhands_devstral_small,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0112,1.0,0.9996,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.98,0.0,0.0,0.0,0.0,0.9999,0.0,0.00095,0.0,0.003,0.0,0.0,0.0,0.0,0.00055,0.80465,0.0,0.0,0.0,0.0
20250522_sweagent_claude-4-sonnet-20250514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00875,0.0151,1.0,0.5,0.0,0.0001,0.0126,0.0,0.0117,0.0037,1.0,0.00305,1.0,1.0,0.00115,0.00265,0.75275,0.0,1.0,0.0,1.0,0.002,1.0,0.0,1.0,0.00085,0.0,1.0,1.0,0.0,0.0,0.0,0.00565
20250522_tools_claude-4-opus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9415,0.9598,1.0,1.0,0.5,0.71165,0.9585,0.24225,0.95175,0.9278,1.0,0.9097,1.0,1.0,0.87635,0.8698,1.0,0.17935,1.0,0.1424,1.0,0.8033,1.0,0.20835,1.0,0.8803,0.15685,1.0,1.0,0.00595,5e-05,0.0,0.758
20250522_tools_claude-4-sonnet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89685,0.91195,1.0,0.9999,0.28835,0.5,0.89625,0.0782,0.9036,0.8517,1.0,0.82455,1.0,1.0,0.7766,0.78365,1.0,0.0481,1.0,0.0405,1.0,0.6496,1.0,0.08205,1.0,0.7906,0.0444,1.0,1.0,0.0002,0.0,0.0,0.6174
20250524_openhands_claude_4_sonnet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4987,0.54705,1.0,0.9874,0.0415,0.10375,0.5,0.007,0.5005,0.40325,1.0,0.35275,1.0,1.0,0.31985,0.3122,0.99945,0.0037,1.0,0.0014,1.0,0.19365,1.0,0.00525,1.0,0.30225,0.00385,1.0,1.0,0.0,0.0,0.0,0.25085
20250603_Refact_Agent_claude-4-sonnet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964,0.99745,1.0,1.0,0.75775,0.9218,0.993,0.5,0.9962,0.9934,1.0,0.99515,1.0,1.0,0.98865,0.9892,1.0,0.4471,1.0,0.37195,1.0,0.9455,1.0,0.4499,1.0,0.97705,0.38835,1.0,1.0,0.0318,0.00175,0.00115,0.8931
20250610_augment_agent_v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5015,0.5614,1.0,0.9883,0.04825,0.0964,0.4995,0.0038,0.5,0.3983,1.0,0.35315,1.0,1.0,0.31445,0.314,0.9982,0.00365,1.0,0.00075,1.0,0.206,1.0,0.008,1.0,0.3182,0.00245,1.0,1.0,0.0,0.0,0.0,0.25025
20250611_moatless_claude-4-sonnet-20250514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.60645,0.65,1.0,0.9963,0.0722,0.1483,0.59675,0.0066,0.6017,0.5,1.0,0.443,1.0,1.0,0.39815,0.4018,0.99955,0.00105,1.0,0.00025,1.0,0.26645,1.0,0.0132,1.0,0.40655,0.0049,1.0,1.0,0.0,0.0,0.0,0.316
20250616_Skywork-SWE-32B,1.0,1.0,1.0,1.0,1.0,1.0,0.97745,1.0,0.3565,0.0,0.99285,0.13945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.03555,0.0,0.0,0.0,0.0,0.50845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.0,0.0,0.0
20250623_warp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6436,0.6857,1.0,0.99695,0.0903,0.17545,0.64725,0.00485,0.64685,0.557,1.0,0.5,1.0,1.0,0.4373,0.45505,0.99915,0.00905,1.0,0.00225,1.0,0.3119,1.0,0.0151,1.0,0.45775,0.01015,1.0,1.0,0.0,0.0,0.0,0.3532
20250627_agentless_MCTS-Refine-7B,1.0,1.0,1.0,1.0,0.9995,0.63895,0.0,0.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250629_deepswerl_r2eagent,1.0,1.0,1.0,1.0,1.0,1.0,0.99975,1.0,0.9356,0.0,1.0,0.8164,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96445,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.966,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.1002,0.0,0.0,0.0,0.0
20250710_bloop,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7007,0.7259,1.0,0.99885,0.12365,0.2234,0.68015,0.01135,0.68555,0.60185,1.0,0.5627,1.0,1.0,0.5,0.50375,0.9995,0.00995,1.0,0.00625,1.0,0.35915,1.0,0.0194,1.0,0.5033,0.01615,1.0,1.0,0.0,0.0,0.0,0.38545
20250715_qodo_command,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69125,0.73705,1.0,0.99735,0.1302,0.21635,0.6878,0.0108,0.686,0.5982,1.0,0.54495,1.0,1.0,0.49625,0.5,0.99985,0.0127,1.0,0.00455,1.0,0.3525,1.0,0.01825,1.0,0.50785,0.0067,1.0,1.0,0.0,0.0,0.0,0.3812
20250716_openhands_kimi_k2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00205,0.0022,1.0,0.24725,0.0,0.0,0.00055,0.0,0.0018,0.00045,1.0,0.00085,1.0,1.0,0.0005,0.00015,0.5,0.0,1.0,0.0,1.0,0.0001,1.0,0.0,1.0,0.0002,0.0,1.0,1.0,0.0,0.0,0.0,0.0015
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983,0.9987,1.0,1.0,0.82065,0.9519,0.9963,0.5529,0.99635,0.99895,1.0,0.99095,1.0,1.0,0.99005,0.9873,1.0,0.5,1.0,0.43105,1.0,0.96895,1.0,0.49855,1.0,0.99145,0.4397,1.0,1.0,0.03485,0.0009,0.00075,0.9234
20250725_sweagent_devstral_small_2507,1.0,1.0,1.0,1.0,1.0,1.0,0.98335,1.0,0.349,0.0,0.99295,0.12595,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49155,0.0,1.0,0.034,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0
20250731_harness_ai,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9995,1.0,1.0,0.8576,0.9595,0.9986,0.62805,0.99925,0.99975,1.0,0.99775,1.0,1.0,0.99375,0.99545,1.0,0.56895,1.0,0.5,1.0,0.979,1.0,0.55675,1.0,0.9973,0.49195,1.0,1.0,0.04025,0.00205,0.0014,0.93025
20250804_codesweep_sweagent_kimi_k2_instruct,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78545,1.0,1.0,0.0,0.0,0.99905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.72255,0.0,0.05255,0.0,0.0,0.466,1.0,0.0,0.0,0.0,0.0
20250807_openhands_gpt5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.80675,0.83375,1.0,0.998,0.1967,0.3504,0.80635,0.0545,0.794,0.73355,1.0,0.6881,1.0,1.0,0.64085,0.6475,0.9999,0.03105,1.0,0.021,1.0,0.5,1.0,0.04745,1.0,0.65885,0.01935,1.0,1.0,0.0003,0.0,0.0,0.5042
20250901_entroPO_R2E_QwenCoder30BA3B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57655,1.0,1.0,0.0,0.0,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9999,0.0,0.0,0.0,0.0,1.0,0.0,0.27745,0.0,0.5,0.0,0.0125,0.0,0.0,0.2371,1.0,0.0,0.0,0.0,0.0
20250915_JoyCode,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9931,0.99625,1.0,1.0,0.79165,0.91795,0.99475,0.5501,0.992,0.9868,1.0,0.9849,1.0,1.0,0.9806,0.98175,1.0,0.50145,1.0,0.44325,1.0,0.95255,1.0,0.5,1.0,0.987,0.4468,1.0,1.0,0.0452,0.0017,0.00225,0.8968
20250924_artemis_agent_v2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.94745,0.0,0.9875,0.0,0.5,0.0,0.0,0.9462,1.0,0.0,0.0,0.0,0.0
20251014_Lingxi_kimi_k2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69405,0.73315,1.0,0.99915,0.1197,0.2094,0.69775,0.02295,0.6818,0.59345,1.0,0.54225,1.0,1.0,0.4967,0.49215,0.9998,0.00855,1.0,0.0027,1.0,0.34115,1.0,0.013,1.0,0.5,0.01315,1.0,1.0,0.0,0.0,0.0,0.38225
20251103_sonar-foundation-agent_claude-sonnet-4-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99565,0.9985,1.0,1.0,0.84315,0.9556,0.99615,0.61165,0.99755,0.9951,1.0,0.98985,1.0,1.0,0.98385,0.9933,1.0,0.5603,1.0,0.50805,1.0,0.98065,1.0,0.5532,1.0,0.98685,0.5,1.0,1.0,0.04805,0.0007,0.0003,0.93075
20251110_frogboss-32b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78455,1.0,1.0,0.0,0.0,0.99945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.534,0.0,0.7629,0.0,0.0538,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
20251110_frogmini-14b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99755,0.00105,1.0,0.9923,0.0,0.0,0.19535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99945,0.0,1.0,0.8998,0.0,0.0,0.0,0.0,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20251120_livesweagent_gemini-3-pro-preview,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99405,0.9998,1.0,0.9682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96515,1.0,0.95975,1.0,0.9997,1.0,0.9548,1.0,1.0,0.95195,1.0,1.0,0.5,0.09845,0.10635,0.9981
20251205_sonar-foundation-agent_claude-opus-4-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99995,1.0,1.0,0.99825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991,1.0,0.99795,1.0,1.0,1.0,0.9983,1.0,1.0,0.9993,1.0,1.0,0.90155,0.5,0.4973,0.9999
20251215_livesweagent_claude-opus-4-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99925,1.0,0.9986,1.0,1.0,1.0,0.99775,1.0,1.0,0.9997,1.0,1.0,0.89365,0.5027,0.5,1.0
20260901_mini-v2.4.2_gemini-3-5-flash,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75685,0.79295,1.0,0.99435,0.242,0.3826,0.74915,0.1069,0.74975,0.684,1.0,0.6468,1.0,1.0,0.61455,0.6188,0.9985,0.0766,1.0,0.06975,1.0,0.4958,1.0,0.1032,1.0,0.61775,0.06925,1.0,1.0,0.0019,0.0001,0.0,0.5
