scenario,temperature,replicates,n_tasks,n_sim,target_rate_a,target_rate_b,true_score_a,true_score_b,true_score_difference,true_run_sd_a,true_rank_reversal_probability,true_tie_probability,score_abs_error_p95,run_sd_median_relative_error,paired_diff_ci_median_halfwidth,paired_diff_detection_power,rank_reversal_median_abs_error,unstable_task_fraction,unstable_detection_mean,stable_task_fraction,stable_false_positive_mean,meets_primary_precision
low,0.65,3,120,5000,0.75,0.72,0.75,0.72,0.030000000000000027,0.028567961463213762,0.20606436918972482,0.06155883593875511,0.033333333333333326,0.3785301739555105,0.08366269196735084,0.1168,0.20606436918972482,0.23333333333333334,0.5917642857142857,0.3416666666666667,0.06467317073170732,False
low,0.65,5,120,5000,0.75,0.72,0.75,0.72,0.030000000000000027,0.028567961463213762,0.20606436918972482,0.06155883593875511,0.025000000000000022,0.24188880866812035,0.04764208651645041,0.2444,0.1939356308102752,0.23333333333333334,0.7871785714285714,0.3416666666666667,0.1076,False
low,0.65,7,120,5000,0.75,0.72,0.75,0.72,0.030000000000000027,0.028567961463213762,0.20606436918972482,0.06155883593875511,0.021428571428571463,0.20103276171480844,0.03653839027418959,0.3458,0.07964991652456088,0.23333333333333334,0.8819857142857142,0.3416666666666667,0.14356585365853658,False
low,0.65,10,120,5000,0.75,0.72,0.75,0.72,0.030000000000000027,0.028567961463213762,0.20606436918972482,0.06155883593875511,0.01749999999999996,0.16130372205727095,0.028685942971074734,0.5156,0.09393563081027517,0.23333333333333334,0.9471285714285715,0.3416666666666667,0.19919512195121952,False
moderate,1.0,3,120,5000,0.75,0.72,0.75,0.72,0.030000000000000027,0.0322554475354549,0.23212238164444624,0.057898274684832676,0.036111111111111094,0.34982262152324695,0.09486457583991909,0.1084,0.23212238164444624,0.3,0.5948833333333334,0.11666666666666667,0.11735714285714284,False
moderate,1.0,5,120,5000,0.75,0.72,0.75,0.72,0.030000000000000027,0.0322554475354549,0.23212238164444624,0.057898274684832676,0.02833333333333332,0.2467742737569145,0.05326547202035461,0.1954,0.1678776183555538,0.3,0.7937611111111111,0.11666666666666667,0.18737142857142855,False
moderate,1.0,7,120,5000,0.75,0.72,0.75,0.72,0.030000000000000027,0.0322554475354549,0.23212238164444624,0.057898274684832676,0.023809523809523725,0.20125154991563812,0.04071244819638856,0.2894,0.08926523878730339,0.3,0.8867444444444443,0.11666666666666667,0.2512285714285714,False
moderate,1.0,10,120,5000,0.75,0.72,0.75,0.72,0.030000000000000027,0.0322554475354549,0.23212238164444624,0.057898274684832676,0.02083333333333326,0.1610665065302287,0.03228659431737353,0.4344,0.06787761835555375,0.3,0.9518333333333334,0.11666666666666667,0.3388857142857143,True
high,1.5,3,120,5000,0.75,0.72,0.75,0.7199999999999999,0.030000000000000138,0.03543738934239903,0.2517096944430101,0.05474015451208855,0.03888888888888886,0.3778343156383215,0.10419349132292964,0.098,0.2517096944430101,0.475,0.5735894736842105,0.0,,False
high,1.5,5,120,5000,0.75,0.72,0.75,0.7199999999999999,0.030000000000000138,0.03543738934239903,0.2517096944430101,0.05474015451208855,0.03166666666666662,0.23987936386472247,0.05751770037546097,0.1786,0.1482903055569899,0.475,0.7696280701754386,0.0,,False
high,1.5,7,120,5000,0.75,0.72,0.75,0.7199999999999999,0.030000000000000138,0.03543738934239903,0.2517096944430101,0.05474015451208855,0.02619047619047621,0.19842844045063363,0.044686954890909465,0.2554,0.10885255158586726,0.475,0.8681298245614034,0.0,,False
high,1.5,10,120,5000,0.75,0.72,0.75,0.7199999999999999,0.030000000000000138,0.03543738934239903,0.2517096944430101,0.05474015451208855,0.021666666666666723,0.15977462445416063,0.03535144175580626,0.3766,0.0517096944430101,0.475,0.941421052631579,0.0,,False
