execution_order,run_id,system_id,task_id,replicate_index,command,result_dir,status,returncode,duration_seconds
1,pilot:sweagent_gpt56terra:pydata__xarray-7229:r01,sweagent_gpt56terra,pydata__xarray-7229,1,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^pydata__xarray\-7229$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__pydata__xarray-7229__r01,dry_run,,0.0
2,pilot:minisweagent_gpt56terra:django__django-16454:r02,minisweagent_gpt56terra,django__django-16454,2,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16454 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16454__r02,dry_run,,0.0
3,pilot:minisweagent_gpt56terra:django__django-16901:r02,minisweagent_gpt56terra,django__django-16901,2,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16901 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16901__r02,dry_run,,0.0
4,pilot:minisweagent_gpt56terra:matplotlib__matplotlib-25122:r02,minisweagent_gpt56terra,matplotlib__matplotlib-25122,2,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance matplotlib__matplotlib-25122 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__matplotlib__matplotlib-25122__r02,dry_run,,0.0
5,pilot:sweagent_gpt56terra:django__django-16493:r02,sweagent_gpt56terra,django__django-16493,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^django__django\-16493$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__django__django-16493__r02,dry_run,,0.0
6,pilot:sweagent_gpt56terra:django__django-16454:r02,sweagent_gpt56terra,django__django-16454,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^django__django\-16454$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__django__django-16454__r02,dry_run,,0.0
7,pilot:sweagent_gpt56terra:matplotlib__matplotlib-25122:r02,sweagent_gpt56terra,matplotlib__matplotlib-25122,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^matplotlib__matplotlib\-25122$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__matplotlib__matplotlib-25122__r02,dry_run,,0.0
8,pilot:sweagent_gpt56terra:scikit-learn__scikit-learn-13142:r02,sweagent_gpt56terra,scikit-learn__scikit-learn-13142,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^scikit\-learn__scikit\-learn\-13142$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__scikit-learn__scikit-learn-13142__r02,dry_run,,0.0
9,pilot:minisweagent_gpt56terra:django__django-13195:r01,minisweagent_gpt56terra,django__django-13195,1,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-13195 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-13195__r01,dry_run,,0.0
10,pilot:moatless_gpt56terra:sympy__sympy-16766:r01,moatless_gpt56terra,sympy__sympy-16766,1,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id sympy__sympy-16766 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:sympy__sympy-16766:r01",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__sympy__sympy-16766__r01,dry_run,,0.0
