execution_order,run_id,phase,system_id,scaffold,scaffold_repository,scaffold_commit,model_provider,model_id,reasoning_effort,api_surface,task_id,replicate_index,execution_seed,checkout_dir,required_secrets,result_dir,command
1,pilot:sweagent_gpt56terra:pydata__xarray-7229:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,pydata__xarray-7229,1,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__pydata__xarray-7229__r01,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^pydata__xarray\-7229$' --num_workers 1
2,pilot:minisweagent_gpt56terra:django__django-16454:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16454,2,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16454__r02,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16454 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
3,pilot:minisweagent_gpt56terra:django__django-16901:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16901,2,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16901__r02,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16901 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
4,pilot:minisweagent_gpt56terra:matplotlib__matplotlib-25122:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,matplotlib__matplotlib-25122,2,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__matplotlib__matplotlib-25122__r02,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance matplotlib__matplotlib-25122 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
5,pilot:sweagent_gpt56terra:django__django-16493:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,2,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__django__django-16493__r02,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^django__django\-16493$' --num_workers 1
6,pilot:sweagent_gpt56terra:django__django-16454:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16454,2,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__django__django-16454__r02,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^django__django\-16454$' --num_workers 1
7,pilot:sweagent_gpt56terra:matplotlib__matplotlib-25122:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,matplotlib__matplotlib-25122,2,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__matplotlib__matplotlib-25122__r02,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^matplotlib__matplotlib\-25122$' --num_workers 1
8,pilot:sweagent_gpt56terra:scikit-learn__scikit-learn-13142:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,scikit-learn__scikit-learn-13142,2,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__scikit-learn__scikit-learn-13142__r02,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^scikit\-learn__scikit\-learn\-13142$' --num_workers 1
9,pilot:minisweagent_gpt56terra:django__django-13195:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-13195,1,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-13195__r01,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-13195 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
10,pilot:moatless_gpt56terra:sympy__sympy-16766:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,1,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__sympy__sympy-16766__r01,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id sympy__sympy-16766 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:sympy__sympy-16766:r01"
11,pilot:minisweagent_gpt56terra:django__django-16493:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,2,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16493__r02,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16493 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
12,pilot:sweagent_gpt56terra:scikit-learn__scikit-learn-13142:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,scikit-learn__scikit-learn-13142,1,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__scikit-learn__scikit-learn-13142__r01,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^scikit\-learn__scikit\-learn\-13142$' --num_workers 1
13,pilot:sweagent_gpt56terra:sphinx-doc__sphinx-9281:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sphinx-doc__sphinx-9281,2,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__sphinx-doc__sphinx-9281__r02,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^sphinx\-doc__sphinx\-9281$' --num_workers 1
14,pilot:moatless_gpt56terra:django__django-16901:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16901,2,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16901__r02,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16901 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16901:r02"
15,pilot:minisweagent_gpt56terra:django__django-16255:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16255,1,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16255__r01,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16255 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
