execution_order,run_id,phase,system_id,scaffold,scaffold_repository,scaffold_commit,model_provider,model_id,reasoning_effort,api_surface,task_id,replicate_index,execution_seed
1,pilot:sweagent_gpt56terra:pydata__xarray-7229:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,pydata__xarray-7229,1,20260923
2,pilot:minisweagent_gpt56terra:django__django-16454:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16454,2,20260923
3,pilot:minisweagent_gpt56terra:django__django-16901:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16901,2,20260923
4,pilot:minisweagent_gpt56terra:matplotlib__matplotlib-25122:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,matplotlib__matplotlib-25122,2,20260923
5,pilot:sweagent_gpt56terra:django__django-16493:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,2,20260923
6,pilot:sweagent_gpt56terra:django__django-16454:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16454,2,20260923
7,pilot:sweagent_gpt56terra:matplotlib__matplotlib-25122:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,matplotlib__matplotlib-25122,2,20260923
8,pilot:sweagent_gpt56terra:scikit-learn__scikit-learn-13142:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,scikit-learn__scikit-learn-13142,2,20260923
9,pilot:minisweagent_gpt56terra:django__django-13195:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-13195,1,20260923
10,pilot:moatless_gpt56terra:sympy__sympy-16766:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,1,20260923
11,pilot:minisweagent_gpt56terra:django__django-16493:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,2,20260923
12,pilot:sweagent_gpt56terra:scikit-learn__scikit-learn-13142:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,scikit-learn__scikit-learn-13142,1,20260923
13,pilot:sweagent_gpt56terra:sphinx-doc__sphinx-9281:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sphinx-doc__sphinx-9281,2,20260923
14,pilot:moatless_gpt56terra:django__django-16901:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16901,2,20260923
15,pilot:minisweagent_gpt56terra:django__django-16255:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16255,1,20260923
16,pilot:minisweagent_gpt56terra:scikit-learn__scikit-learn-13142:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,scikit-learn__scikit-learn-13142,2,20260923
17,pilot:moatless_gpt56terra:django__django-16454:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16454,1,20260923
18,pilot:sweagent_gpt56terra:astropy__astropy-7336:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,astropy__astropy-7336,1,20260923
19,pilot:sweagent_gpt56terra:django__django-13195:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-13195,2,20260923
20,pilot:moatless_gpt56terra:astropy__astropy-7336:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,astropy__astropy-7336,2,20260923
21,pilot:sweagent_gpt56terra:pydata__xarray-7229:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,pydata__xarray-7229,2,20260923
22,pilot:moatless_gpt56terra:pydata__xarray-7229:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,pydata__xarray-7229,2,20260923
23,pilot:moatless_gpt56terra:django__django-16493:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,1,20260923
24,pilot:minisweagent_gpt56terra:sphinx-doc__sphinx-9281:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sphinx-doc__sphinx-9281,1,20260923
25,pilot:minisweagent_gpt56terra:django__django-16901:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16901,1,20260923
26,pilot:moatless_gpt56terra:django__django-13195:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-13195,2,20260923
27,pilot:minisweagent_gpt56terra:sympy__sympy-16766:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,2,20260923
28,pilot:minisweagent_gpt56terra:sympy__sympy-20154:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-20154,1,20260923
29,pilot:minisweagent_gpt56terra:matplotlib__matplotlib-25122:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,matplotlib__matplotlib-25122,1,20260923
30,pilot:minisweagent_gpt56terra:sympy__sympy-16766:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,1,20260923
31,pilot:moatless_gpt56terra:sympy__sympy-16766:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,2,20260923
32,pilot:minisweagent_gpt56terra:django__django-16493:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,1,20260923
33,pilot:minisweagent_gpt56terra:astropy__astropy-7336:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,astropy__astropy-7336,2,20260923
34,pilot:sweagent_gpt56terra:sphinx-doc__sphinx-9281:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sphinx-doc__sphinx-9281,1,20260923
35,pilot:minisweagent_gpt56terra:astropy__astropy-7336:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,astropy__astropy-7336,1,20260923
36,pilot:sweagent_gpt56terra:sympy__sympy-16766:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,2,20260923
37,pilot:moatless_gpt56terra:django__django-16493:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,2,20260923
38,pilot:moatless_gpt56terra:django__django-16255:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16255,2,20260923
39,pilot:moatless_gpt56terra:scikit-learn__scikit-learn-13142:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,scikit-learn__scikit-learn-13142,2,20260923
40,pilot:moatless_gpt56terra:sympy__sympy-20154:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-20154,1,20260923
41,pilot:minisweagent_gpt56terra:django__django-16255:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16255,2,20260923
42,pilot:moatless_gpt56terra:scikit-learn__scikit-learn-13142:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,scikit-learn__scikit-learn-13142,1,20260923
43,pilot:moatless_gpt56terra:matplotlib__matplotlib-25122:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,matplotlib__matplotlib-25122,2,20260923
44,pilot:sweagent_gpt56terra:django__django-16454:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16454,1,20260923
45,pilot:moatless_gpt56terra:sphinx-doc__sphinx-9281:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sphinx-doc__sphinx-9281,2,20260923
46,pilot:sweagent_gpt56terra:django__django-16255:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16255,2,20260923
47,pilot:sweagent_gpt56terra:django__django-13195:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-13195,1,20260923
48,pilot:moatless_gpt56terra:sphinx-doc__sphinx-9281:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sphinx-doc__sphinx-9281,1,20260923
49,pilot:sweagent_gpt56terra:sympy__sympy-20154:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-20154,2,20260923
50,pilot:sweagent_gpt56terra:django__django-16901:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16901,1,20260923
51,pilot:moatless_gpt56terra:django__django-13195:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-13195,1,20260923
52,pilot:minisweagent_gpt56terra:django__django-16454:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16454,1,20260923
53,pilot:sweagent_gpt56terra:astropy__astropy-7336:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,astropy__astropy-7336,2,20260923
54,pilot:moatless_gpt56terra:django__django-16901:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16901,1,20260923
55,pilot:sweagent_gpt56terra:sympy__sympy-20154:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-20154,1,20260923
56,pilot:moatless_gpt56terra:astropy__astropy-7336:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,astropy__astropy-7336,1,20260923
57,pilot:moatless_gpt56terra:sympy__sympy-20154:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-20154,2,20260923
