task_id,solve_rate,n_systems,disagreement,entropy_bits,repository,selection_component,selection_seed,disagreement_threshold
astropy__astropy-13453,0.6,45,0.96,0.9709505944546686,astropy,high_disagreement_enrichment,20260921,0.9
django__django-10097,0.4,45,0.96,0.9709505944546686,django,high_disagreement_enrichment,20260921,0.9
django__django-11149,0.3555555555555555,45,0.9165432098765433,0.9389320105807948,django,high_disagreement_enrichment,20260921,0.9
django__django-11211,0.6444444444444445,45,0.9165432098765433,0.9389320105807948,django,high_disagreement_enrichment,20260921,0.9
django__django-11740,0.6444444444444445,45,0.9165432098765433,0.9389320105807948,django,high_disagreement_enrichment,20260921,0.9
django__django-12039,0.5777777777777777,45,0.9758024691358024,0.982474086838641,django,high_disagreement_enrichment,20260921,0.9
django__django-12193,0.4666666666666667,45,0.9955555555555556,0.9967916319816366,django,high_disagreement_enrichment,20260921,0.9
django__django-12965,0.5111111111111111,45,0.9995061728395062,0.999643749677856,django,high_disagreement_enrichment,20260921,0.9
django__django-13012,0.6444444444444445,45,0.9165432098765433,0.9389320105807948,django,high_disagreement_enrichment,20260921,0.9
django__django-13158,0.6222222222222222,45,0.9402469135802468,0.9564574047992594,django,high_disagreement_enrichment,20260921,0.9
django__django-13512,0.3555555555555555,45,0.9165432098765433,0.9389320105807948,django,high_disagreement_enrichment,20260921,0.9
django__django-13568,0.4888888888888889,45,0.999506172839506,0.999643749677856,django,high_disagreement_enrichment,20260921,0.9
django__django-13807,0.5111111111111111,45,0.9995061728395062,0.999643749677856,django,high_disagreement_enrichment,20260921,0.9
django__django-14351,0.4888888888888889,45,0.999506172839506,0.999643749677856,django,high_disagreement_enrichment,20260921,0.9
django__django-14771,0.4888888888888889,45,0.999506172839506,0.999643749677856,django,high_disagreement_enrichment,20260921,0.9
django__django-15022,0.4888888888888889,45,0.999506172839506,0.999643749677856,django,high_disagreement_enrichment,20260921,0.9
django__django-15128,0.5555555555555556,45,0.9876543209876544,0.9910760598382222,django,high_disagreement_enrichment,20260921,0.9
django__django-15268,0.5777777777777777,45,0.9758024691358024,0.982474086838641,django,high_disagreement_enrichment,20260921,0.9
django__django-15525,0.6222222222222222,45,0.9402469135802468,0.9564574047992594,django,high_disagreement_enrichment,20260921,0.9
django__django-16100,0.6444444444444445,45,0.9165432098765433,0.9389320105807948,django,high_disagreement_enrichment,20260921,0.9
django__django-17084,0.5333333333333333,45,0.9955555555555556,0.9967916319816366,django,high_disagreement_enrichment,20260921,0.9
matplotlib__matplotlib-20859,0.6,45,0.96,0.9709505944546686,matplotlib,high_disagreement_enrichment,20260921,0.9
matplotlib__matplotlib-22871,0.4444444444444444,45,0.9876543209876544,0.9910760598382222,matplotlib,high_disagreement_enrichment,20260921,0.9
matplotlib__matplotlib-25332,0.5333333333333333,45,0.9955555555555556,0.9967916319816366,matplotlib,high_disagreement_enrichment,20260921,0.9
matplotlib__matplotlib-25775,0.4666666666666667,45,0.9955555555555556,0.9967916319816366,matplotlib,high_disagreement_enrichment,20260921,0.9
psf__requests-1142,0.5555555555555556,45,0.9876543209876544,0.9910760598382222,psf,high_disagreement_enrichment,20260921,0.9
psf__requests-1921,0.4444444444444444,45,0.9876543209876544,0.9910760598382222,psf,high_disagreement_enrichment,20260921,0.9
pydata__xarray-4094,0.5777777777777777,45,0.9758024691358024,0.982474086838641,pydata,high_disagreement_enrichment,20260921,0.9
pylint-dev__pylint-6386,0.3777777777777777,45,0.9402469135802468,0.9564574047992594,pylint-dev,high_disagreement_enrichment,20260921,0.9
pytest-dev__pytest-10051,0.4,45,0.96,0.9709505944546686,pytest-dev,high_disagreement_enrichment,20260921,0.9
sphinx-doc__sphinx-10323,0.5555555555555556,45,0.9876543209876544,0.9910760598382222,sphinx-doc,high_disagreement_enrichment,20260921,0.9
sphinx-doc__sphinx-10449,0.6222222222222222,45,0.9402469135802468,0.9564574047992594,sphinx-doc,high_disagreement_enrichment,20260921,0.9
sphinx-doc__sphinx-8035,0.6444444444444445,45,0.9165432098765433,0.9389320105807948,sphinx-doc,high_disagreement_enrichment,20260921,0.9
sphinx-doc__sphinx-9711,0.6222222222222222,45,0.9402469135802468,0.9564574047992594,sphinx-doc,high_disagreement_enrichment,20260921,0.9
sympy__sympy-13878,0.5777777777777777,45,0.9758024691358024,0.982474086838641,sympy,high_disagreement_enrichment,20260921,0.9
sympy__sympy-17139,0.6444444444444445,45,0.9165432098765433,0.9389320105807948,sympy,high_disagreement_enrichment,20260921,0.9
sympy__sympy-17655,0.6,45,0.96,0.9709505944546686,sympy,high_disagreement_enrichment,20260921,0.9
sympy__sympy-20801,0.6222222222222222,45,0.9402469135802468,0.9564574047992594,sympy,high_disagreement_enrichment,20260921,0.9
sympy__sympy-21379,0.4888888888888889,45,0.999506172839506,0.999643749677856,sympy,high_disagreement_enrichment,20260921,0.9
sympy__sympy-24562,0.4888888888888889,45,0.999506172839506,0.999643749677856,sympy,high_disagreement_enrichment,20260921,0.9
astropy__astropy-13033,0.0444444444444444,45,0.1698765432098765,0.2623112196143366,astropy,representative,20260921,0.9
astropy__astropy-13579,0.6444444444444445,45,0.9165432098765433,0.9389320105807948,astropy,representative,20260921,0.9
astropy__astropy-14508,0.6666666666666666,45,0.888888888888889,0.9182958340544896,astropy,representative,20260921,0.9
astropy__astropy-14995,0.8222222222222222,45,0.5846913580246914,0.6751914401458716,astropy,representative,20260921,0.9
django__django-10973,0.7333333333333333,45,0.7822222222222224,0.8366407419411672,django,representative,20260921,0.9
django__django-11265,0.3111111111111111,45,0.8572839506172839,0.8944518845341283,django,representative,20260921,0.9
django__django-11551,0.8444444444444444,45,0.5254320987654321,0.6235702082127974,django,representative,20260921,0.9
django__django-11734,0.0222222222222222,45,0.0869135802469135,0.1537421803287618,django,representative,20260921,0.9
django__django-11820,0.0,45,0.0,0.0,django,representative,20260921,0.9
django__django-11880,0.8444444444444444,45,0.5254320987654321,0.6235702082127974,django,representative,20260921,0.9
django__django-12125,0.5777777777777777,45,0.9758024691358024,0.982474086838641,django,representative,20260921,0.9
django__django-12262,0.6666666666666666,45,0.888888888888889,0.9182958340544896,django,representative,20260921,0.9
django__django-12419,0.8888888888888888,45,0.3950617283950619,0.5032583347756459,django,representative,20260921,0.9
django__django-12774,0.5555555555555556,45,0.9876543209876544,0.9910760598382222,django,representative,20260921,0.9
django__django-13121,0.5333333333333333,45,0.9955555555555556,0.9967916319816366,django,representative,20260921,0.9
django__django-13128,0.4888888888888889,45,0.999506172839506,0.999643749677856,django,representative,20260921,0.9
django__django-13343,0.7111111111111111,45,0.8217283950617283,0.8672816222000259,django,representative,20260921,0.9
django__django-13363,0.8444444444444444,45,0.5254320987654321,0.6235702082127974,django,representative,20260921,0.9
django__django-13417,0.7777777777777778,45,0.691358024691358,0.7642045065086203,django,representative,20260921,0.9
django__django-13569,0.6888888888888889,45,0.8572839506172839,0.8944518845341283,django,representative,20260921,0.9
django__django-13810,0.7111111111111111,45,0.8217283950617283,0.8672816222000259,django,representative,20260921,0.9
django__django-13925,0.3777777777777777,45,0.9402469135802468,0.9564574047992594,django,representative,20260921,0.9
django__django-14155,0.0,45,0.0,0.0,django,representative,20260921,0.9
